message_id,sent_time_ns,receive_time_ns,latency_ms
0,1779189594665585001,1779189594665824226,0.239225
1,1779189594675561153,1779189594680105245,4.544092
2,1779189594685558345,1779189594685684265,0.12592
3,1779189594695559024,1779189594695680175,0.121151
4,1779189594705567358,1779189594705703617,0.136259
5,1779189594715555974,1779189594715668979,0.113005
6,1779189594725557875,1779189594725669467,0.111592
7,1779189594735555067,1779189594735672240,0.117173
8,1779189594745561647,1779189594745707444,0.145797
9,1779189594755558739,1779189594755685640,0.126901
10,1779189594765555440,1779189594765684155,0.128715
11,1779189594775556480,1779189594775676278,0.119798
12,1779189594785559072,1779189594785693438,0.134366
13,1779189594795556695,1779189594795682805,0.12611
14,1779189594805553948,1779189594805687842,0.133894
15,1779189594815557582,1779189594815687499,0.129917
16,1779189594825546599,1779189594825671006,0.124407
17,1779189594835555173,1779189594835680120,0.124947
18,1779189594845557114,1779189594845712820,0.155706
19,1779189594855559536,1779189594855714431,0.154895
20,1779189594865570785,1779189594865727874,0.157089
21,1779189594875556846,1779189594875710859,0.154013
22,1779189594885559609,1779189594885714754,0.155145
23,1779189594895560117,1779189594895719140,0.159023
24,1779189594905561858,1779189594905721582,0.159724
25,1779189594915559772,1779189594915780592,0.22082
26,1779189594925559599,1779189594925706138,0.146539
27,1779189594935556441,1779189594935688712,0.132271
28,1779189594945557540,1779189594945684762,0.127222
29,1779189594955557458,1779189594955690130,0.132672
30,1779189594965552646,1779189594965677814,0.125168
31,1779189594975554808,1779189594975705284,0.150476
32,1779189594985560256,1779189594985700542,0.140286
33,1779189594995553571,1779189594995685091,0.13152
34,1779189595005557185,1779189595005723902,0.166717
35,1779189595015557834,1779189595015687330,0.129496
36,1779189595025560146,1779189595025683771,0.123625
37,1779189595035558971,1779189595035690932,0.131961
38,1779189595045559119,1779189595045694707,0.135588
39,1779189595055557554,1779189595055690367,0.132813
40,1779189595065557471,1779189595065688290,0.130819
41,1779189595075555084,1779189595075685573,0.130489
42,1779189595085555443,1779189595085686101,0.130658
43,1779189595095560810,1779189595095692922,0.132112
44,1779189595105555688,1779189595105687329,0.131641
45,1779189595115558151,1779189595115692987,0.134836
46,1779189595125556986,1779189595125689127,0.132141
47,1779189595135558747,1779189595135697120,0.138373
48,1779189595145557502,1779189595145689193,0.131691
49,1779189595155557039,1779189595155706203,0.149164
50,1779189595165556756,1779189595165689989,0.133233
51,1779189595175556904,1779189595175688975,0.132071
52,1779189595185563504,1779189595185695736,0.132232
53,1779189595195558883,1779189595195685283,0.1264
54,1779189595205571915,1779189595205688737,0.116822
55,1779189595215553798,1779189595215687653,0.133855
56,1779189595225553395,1779189595225678203,0.124808
57,1779189595235556559,1779189595235685464,0.128905
58,1779189595245557478,1779189595245687596,0.130118
59,1779189595255556334,1779189595255682704,0.12637
60,1779189595265556652,1779189595265680968,0.124316
61,1779189595275564184,1779189595275692798,0.128614
62,1779189595285556086,1779189595285679932,0.123846
63,1779189595295556925,1779189595295679569,0.122644
64,1779189595305557434,1779189595305684616,0.127182
65,1779189595315560578,1779189595315687309,0.126731
66,1779189595325566456,1779189595325691835,0.125379
67,1779189595335560973,1779189595335687925,0.126952
68,1779189595345555160,1779189595345706288,0.151128
69,1779189595355558023,1779189595355686137,0.128114
70,1779189595365554975,1779189595365683549,0.128574
71,1779189595375560022,1779189595375685020,0.124998
72,1779189595385557405,1779189595385684446,0.127041
73,1779189595395557923,1779189595395681018,0.123095
74,1779189595405554464,1779189595405677198,0.122734
75,1779189595415557668,1779189595415680061,0.122393
76,1779189595425554630,1779189595425714003,0.159373
77,1779189595435574014,1779189595435699573,0.125559
78,1779189595445558973,1779189595445689802,0.130829
79,1779189595455559412,1779189595455688968,0.129556
80,1779189595465552106,1779189595465676482,0.124376
81,1779189595475558796,1779189595475703631,0.144835
82,1779189595485558784,1779189595485688971,0.130187
83,1779189595495557549,1779189595495682807,0.125258
84,1779189595505559160,1779189595505686632,0.127472
85,1779189595515560790,1779189595515688794,0.128004
86,1779189595525558694,1779189595525684814,0.12612
87,1779189595535559012,1779189595535684761,0.125749
88,1779189595545560102,1779189595545696792,0.13669
89,1779189595555558125,1779189595555684466,0.126341
90,1779189595565552813,1779189595565681939,0.129126
91,1779189595575559544,1779189595575682297,0.122753
92,1779189595585559752,1779189595585682725,0.122973
93,1779189595595558557,1779189595595679928,0.121371
94,1779189595605555338,1779189595605675827,0.120489
95,1779189595615558041,1779189595615685073,0.127032
96,1779189595625557868,1779189595625702684,0.144816
97,1779189595635571141,1779189595635690929,0.119788
98,1779189595645556651,1779189595645680306,0.123655
99,1779189595655556278,1779189595655679973,0.123695
100,1779189595665552739,1779189595665679360,0.126621
101,1779189595675557646,1779189595675677835,0.120189
102,1779189595685551252,1779189595685672131,0.120879
103,1779189595695561008,1779189595695679643,0.118635
